All traffic signals,,,,,,,,,,,Location,Latitude,,,,,,,,,,
PX,GUNNS RD,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
2,JARVIS ST,,FRONT ST E,,,,11075761,13466793,315152.9835,4834175.659,43.649418,-79.371446,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,0,0,0,4
3,KING ST E,,JARVIS ST,,,,8344825,13466630,315116.598,4834288.218,43.6504606,-79.3719239,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
4,JARVIS ST,,ADELAIDE ST E,,,,1145167,13466455,315079.997,4834406.329,43.6515337,-79.37236,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
5,JARVIS ST,,RICHMOND ST E,,,,1144943,13466268,315042.1702,4834537.015,43.6527176,-79.372824,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
6,JARVIS ST,,QUEEN ST E,,,,14024688,13466110,315007.8977,4834650.789,43.653704,-79.373238,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
7,JARVIS ST,,SHUTER ST,,,,14021175,13465860,314954.1778,4834832.09,43.655357,-79.373862,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
8,JARVIS ST,,DUNDAS ST E,,,,14021174,13465569,314901.487,4835021.437,43.657052,-79.374531,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
9,JARVIS ST,,GERRARD ST E,,,,2597802,13465038,314793.435,4835395.961,43.660432,-79.3758537,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
10,JARVIS ST,,CARLTON ST,,,,1143470,13464719,314727.18,4835615.776,43.66242,-79.3767079,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
11,JARVIS ST,,WELLESLEY ST E,,,,6522648,13464096,314595.096,4836045.113,43.6662894,-79.378325,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
12,JARVIS ST,,ISABELLA ST,,,,1142453,13463674,314505.553,4836334.792,43.668869,-79.3794158,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",0,,,,4
13,MOUNT PLEASANT RD,,CHARLES ST E,JARVIS ST,,,7753909,13463463,314468.791,4836454.73,43.6699892,-79.3799226,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
14,BLOOR ST E,,TED ROGERS WAY,,250 BLOOR ST E,,8536222,13463195,314415.25,4836636.5,43.6715773,-79.38052,00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
15,CHURCH ST,,FRONT ST E,WELLINGTON ST E,,,14254940,14254942,314965.855,4834063.381,43.64851318,-79.37383354,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
16,KING ST E,,CHURCH ST,,,,14036413,13466729,314915.108,4834227.693,43.6499164,-79.374409,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
17,CHURCH ST,,ADELAIDE ST E,,,,8313442,13466516,314871.8198,4834368.029,43.651173,-79.374925,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
18,CHURCH ST,,RICHMOND ST E,,,,8313131,13466312,314828.8656,4834510.224,43.652441,-79.375448,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,3
19,QUEEN ST E,,CHURCH ST,,,,14036376,13466199,314804.79,4834588.22,43.65317,-79.375754,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
20,CHURCH ST,,SHUTER ST,,,,7642433,13465946,314749.0342,4834772.659,43.654817,-79.376441,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
21,DUNDAS ST E,,CHURCH ST,,,,1144608,13465671,314693.38,4834958.29,43.656499,-79.377127,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,1,,,4
22,CHURCH ST,,GERRARD ST E,,,,7642005,13465140,314580.931,4835331.076,43.659858,-79.378522,00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
23,CHURCH ST,,CARLTON ST,,,,7730328,13464821,314512.9,4835555.14,43.661871,-79.379335,00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),0,,,,4
