weekday,time,sudo,household,pur,trip,gender,ln_dis,ln_time
1,1,1,4,8,1,0,2.890371758,3.401197382
1,0,0,4,1,1,1,2.63905733,3.688879454
1,1,0,4,1,1,0,2.197224577,3.433987204
1,1,1,5,8,1,0,1.386294361,2.302585093
1,0,0,3,1,1,0,1.386294361,2.995732274
1,1,0,1,1,1,0,2.302585093,3.401197382
1,1,0,4,10,1,0,2.079441542,2.995732274
1,1,1,5,1,1,1,2.833213344,3.80666249
1,0,0,2,0,0,1,0,0
1,0,0,3,11,1,0,2.564949357,2.708050201
1,1,0,4,1,1,0,2.708050201,2.995732274
1,1,0,3,1,1,0,3.36729583,3.688879454
1,1,0,4,1,1,1,0.693147181,2.302585093
1,0,0,2,10,1,1,2.302585093,3.663561646
1,0,0,4,1,1,1,2.564949357,3.33220451
1,0,0,5,10,1,0,1.609437912,2.079441542
1,0,1,4,5,1,0,2.708050201,3.401197382
1,0,0,4,4,1,1,1.791759469,2.708050201
1,1,0,4,5,1,0,2.197224577,3.401197382
1,1,1,5,5,1,0,1.609437912,2.302585093
1,0,0,3,5,1,0,2.302585093,2.995732274
1,1,0,1,5,1,0,2.302585093,3.688879454
1,1,0,4,5,1,0,2.079441542,2.995732274
1,1,1,5,4,1,1,3.912023005,4.248495242
1,0,0,2,1,1,1,0.693147181,1.609437912
1,0,0,3,5,1,0,2.48490665,2.708050201
1,0,0,4,5,1,0,2.708050201,2.833213344
1,1,0,3,5,1,0,3.401197382,3.401197382
1,0,0,4,10,1,1,1.609437912,3.401197382
1,0,0,2,10,1,1,2.302585093,3.688879454
1,0,0,4,5,1,1,2.564949357,2.944438979
1,0,0,5,10,1,0,1.791759469,2.302585093
1,0,1,4,0,0,0,0,0
1,0,0,4,4,1,1,1.609437912,2.708050201
1,0,0,4,10,1,0,0.693147181,2.302585093
1,0,1,5,10,1,0,2.197224577,2.708050201
1,0,0,3,1,1,0,2.833213344,2.995732274
1,1,0,1,1,1,0,2.302585093,3.218875825
1,0,0,4,0,0,0,0,0
1,0,1,5,6,1,1,3.912023005,4.094344562
1,0,0,2,4,1,1,0,1.386294361
1,1,0,3,10,1,0,2.197224577,2.48490665
1,1,0,4,1,1,0,2.63905733,2.708050201
1,1,0,3,1,1,0,3.36729583,3.433987204
1,0,0,4,4,1,1,1.609437912,3.688879454
1,1,0,2,1,1,1,1.609437912,2.48490665
1,1,0,4,1,1,1,2.564949357,3.33220451
1,1,0,5,10,1,0,1.791759469,2.890371758
0,0,1,4,0,0,0,0,0
1,0,0,4,6,1,1,1.791759469,1.609437912
1,0,0,4,5,1,0,0.693147181,2.302585093
1,0,1,5,5,1,0,2.197224577,3.218875825
1,0,0,3,5,1,0,2.197224577,2.397895273
1,1,0,1,5,1,0,2.302585093,3.555348061
1,1,0,4,10,1,0,2.079441542,2.995732274
1,1,1,5,5,1,1,2.833213344,3.912023005
1,0,0,2,6,1,1,0.693147181,1.791759469
1,0,0,3,5,1,0,2.197224577,2.63905733
1,0,0,4,8,1,0,2.995732274,3.401197382
1,1,0,3,5,1,0,3.401197382,3.465735903
1,1,0,4,5,1,1,0.693147181,2.302585093
0,1,0,2,5,1,1,1.609437912,2.197224577
1,0,0,4,5,1,1,2.564949357,3.135494216
1,1,0,5,5,1,0,1.791759469,2.708050201
0,1,1,4,9,1,0,4.248495242,4.49980967
1,1,0,4,5,1,1,2.079441542,3.688879454
1,1,0,4,1,1,0,2.197224577,3.295836866
1,0,1,5,0,0,0,0,0
1,0,0,3,10,1,0,2.63905733,3.218875825
1,1,0,1,1,1,0,2.302585093,3.218875825
1,1,0,4,5,1,0,2.079441542,2.995732274
1,0,1,5,1,1,1,2.833213344,3.912023005
1,0,0,2,5,1,1,0.693147181,2.302585093
1,0,0,3,10,1,0,3.33220451,3.295836866
1,0,0,4,5,1,0,2.995732274,2.708050201
1,1,0,3,1,1,0,3.36729583,3.295836866
1,1,0,4,1,1,1,0.693147181,2.302585093
0,0,0,2,11,1,1,2.833213344,3.891820298
1,0,0,4,1,1,1,2.564949357,3.401197382
1,0,0,5,8,1,0,1.945910149,2.48490665
1,0,1,4,5,1,0,4.248495242,4.49980967
1,1,0,4,1,1,1,2.564949357,3.555348061
1,1,0,4,5,1,0,2.197224577,3.401197382
1,1,1,5,7,1,0,1.098612289,2.302585093
1,0,0,3,1,1,0,2.197224577,3.218875825
1,1,0,1,5,1,0,2.302585093,3.555348061
1,0,0,4,8,1,0,1.609437912,2.302585093
1,0,1,5,5,1,1,2.890371758,4.094344562
1,0,0,2,1,1,1,0.693147181,1.609437912
1,0,0,3,5,1,0,3.33220451,3.258096538
1,1,0,4,1,1,0,2.772588722,2.995732274
1,1,0,3,5,1,0,3.401197382,3.218875825
1,0,0,4,4,1,1,2.197224577,3.688879454
0,0,0,2,8,1,1,2.397895273,3.465735903
1,1,0,4,5,1,1,2.63905733,3.218875825
1,0,0,5,5,1,0,1.945910149,2.564949357
1,1,1,4,4,1,0,3.17805383,4.094344562
1,1,0,4,7,1,1,2.48490665,3.218875825
1,0,0,4,1,1,0,2.197224577,3.218875825
1,1,1,5,5,1,0,1.098612289,2.302585093
1,0,0,3,5,1,0,1.386294361,2.833213344
1,1,0,1,1,1,0,2.302585093,2.995732274
1,0,0,4,8,1,0,1.609437912,2.302585093
1,0,1,5,4,1,1,3.526360525,3.912023005
1,0,0,2,5,1,1,1.098612289,3.218875825
1,0,0,3,0,0,0,0,0
1,0,0,4,5,1,0,2.48490665,2.708050201
1,1,0,3,1,1,0,3.33220451,3.36729583
1,0,0,4,6,1,1,2.197224577,3.688879454
0,0,0,2,8,1,1,2.708050201,3.828641396
1,0,0,4,1,1,1,2.564949357,3.433987204
1,1,0,5,3,1,0,3.17805383,2.708050201
1,0,1,4,5,1,0,3.17805383,3.401197382
1,1,0,4,5,1,1,1.098612289,0.693147181
1,0,0,4,10,1,0,1.609437912,2.995732274
1,0,1,5,8,1,0,1.098612289,2.302585093
1,0,0,3,1,1,0,1.609437912,3.218875825
1,0,0,1,11,1,0,0,1.609437912
1,0,0,4,10,1,0,1.609437912,2.302585093
1,1,1,5,5,1,1,3.496507561,4.094344562
1,1,0,2,10,1,1,1.098612289,2.302585093
1,0,0,3,10,1,0,2.079441542,2.708050201
1,1,0,4,1,1,0,2.708050201,2.708050201
1,1,0,3,5,1,0,3.401197382,3.218875825
1,1,0,4,5,1,1,0.693147181,2.302585093
0,0,0,2,7,1,1,2.708050201,3.63758616
1,0,0,4,5,1,1,2.564949357,2.890371758
1,1,0,5,5,1,0,3.17805383,2.995732274
1,0,1,4,0,0,0,0,0
