"x","y"
932924.6,1964888.4
932938.6,1964881.4
932902.2,1964775.3
932896.3,1964755.3
932897.4,1964743.3
932900.4,1964733.3
932907.5,1964723.3
933063.9,1964637.2
933077.9,1964634.3
933094.9,1964636.4
933108.8,1964646.4
933125.7,1964662.5
933179.4,1964722.8
933241.7,1964836.1
933271.4,1964889.2
933271.4,1964889.2
933375.4,1965075.7
933465.7,1965024.2
933519.8,1964994.5
933519.8,1964994.5
933565.9,1964969.7
933615,1964942
933718.3,1964884.6
933770.4,1964853.9
933930.9,1964762.8
933930.9,1964762.8
934016.1,1964714.2
934033.1,1964707.3
934048.1,1964704.4
934073.1,1964708.5
934088,1964721.6
934134.6,1964804.8
934134.6,1964804.8
934222.7,1964961.2
934242.5,1964987.3
934265.4,1965007.4
934283.4,1965019.5
934308.3,1965031.7
934329.3,1965036.8
934346.2,1965039.9
934346.2,1965039.9
934376.2,1965042
934399.2,1965039.1
934436.2,1965031.3
934493.4,1965002.7
934587.6,1964949.2
934587.6,1964949.2
934666.8,1964904.6
934799.2,1964830.4
934900.4,1964773.9
934900.4,1964773.9
934987.7,1964724.4
935050.8,1964690.8
935140,1964640.2
935244.3,1964582.8
935326.5,1964537.3
935326.5,1964537.3
935580.2,1964396.7
935822.8,1964261
935822.8,1964261
936237.9,1964029.3
936237.9,1964029.3
936348.2,1963967.9
936391.3,1963943.2
936428.4,1963913.4
936442.5,1963896.5
936442.5,1963896.5
936455.6,1963878.5
936470.7,1963852.6
936531.4,1963726
936595.1,1963583.4
936595.1,1963583.4
936821.7,1963082.8
936821.7,1963082.8
937049.3,1962582.2
937049.3,1962582.2
937057.4,1962562.3
937078.6,1962516.4
937112,1962442.6
937141.3,1962379.8
937168.6,1962318.9
937179.7,1962294
937179.7,1962294
937275.8,1962080.6
937275.8,1962080.6
937372.9,1961868.2
937372.9,1961868.2
937433.6,1961732.6
937484.2,1961622.9
937484.2,1961622.9
937536.8,1961505.2
937587.4,1961395.5
937587.4,1961395.5
937619.7,1961321.7
937632.9,1961295.8
937640,1961273.8
937648.2,1961242.9
937650.3,1961212.9
937645.5,1961178.9
937635.7,1961142.9
937618.9,1961112.8
937618.9,1961112.8
937608,1961095.7
937594,1961080.7
937517.5,1961004.3
937517.5,1961004.3
937502.6,1960987.2
937382.3,1960861.6
937382.3,1960861.6
937277.9,1960753.1
937259,1960734
937237.1,1960711.9
937237.1,1960711.9
937149.6,1960621.5
937009.5,1960474.8
937009.5,1960474.8
936834.5,1960293.9
936829.5,1960288.9
936822.6,1960285.9
936815.6,1960286.8
936808.5,1960290.8
936673.9,1960421
936673.9,1960421
936590.5,1960499.6
936509.1,1960578.1
936509.1,1960578.1
936443.8,1960640.7
936365.4,1960718.3
936365.4,1960718.3
936312.2,1960768
936242.9,1960836.6
936240.8,1960841.6
936239.8,1960846.6
936241.8,1960852.6
936245.7,1960858.6
936301.4,1960915.9
936310.4,1960925.9
936335.2,1960951
936335.2,1960951
936401.8,1961018.4
936503.2,1961122.9
936536,1961156
936536,1961156
936568.9,1961190.2
936571.7,1961212.2
936564.6,1961233.1
936547.5,1961253
936468.1,1961336.6
936456,1961350.5
936445,1961364.5
936402.7,1961425.2
936356.3,1961500.9
936339.1,1961535.8
936315.8,1961591.7
936315.8,1961591.7
936278.4,1961677.4
936170.1,1961923.8
936130.6,1962012.5
936030.5,1962231.9
936030.5,1962231.9
936000.2,1962284.7
935940.6,1962412.4
935894.1,1962514.1
935884,1962527
935869,1962536.9
935854,1962536.9
935841,1962532.8
935744.3,1962486.3
935744.3,1962486.3
935694.4,1962463
935672.5,1962452.9
935596.7,1962417.5
935562.8,1962402.4
935562.8,1962402.4
935423.2,1962336.6
935419.2,1962334.6
935415.2,1962334.6
935412.2,1962334.6
935407.2,1962336.6
935404.2,1962340.5
935383,1962380.4
935383,1962380.4
935362.8,1962414.3
935338.6,1962449.1
935251.1,1962562.6
935205.8,1962622.4
935166.5,1962673.1
935166.5,1962673.1
935016.5,1962869.3
934957.1,1962945.9
934909.9,1962997.7
934880.7,1963026.5
934880.7,1963026.5
934847.6,1963055.3
934819.5,1963080.1
934817.4,1963086.1
934817.4,1963094.1
934891.8,1963199.5
934891.8,1963199.5
934994,1963339
935038.7,1963400.2
935063.5,1963434.3
935098.2,1963481.5
935100.1,1963498.5
935093,1963517.4
935084,1963526.4
935069,1963536.3
935057.9,1963542.2
934984.7,1963584.8
934890.4,1963649.3
934890.4,1963649.3
934793.2,1963702.8
934437.3,1963899.8
934437.3,1963899.8
934021.2,1964133.5
934021.2,1964133.5
933830.7,1964238.4
933784.5,1964280.2
933642.1,1964361.4
933642.1,1964361.4
933465.7,1964460.4
933337.3,1964532.7
933337.3,1964532.7
933128.8,1964651.5
932908.2,1964773.3
932944.6,1964876.5
932945.6,1964883.5
932942.6,1964888.5
932929.6,1964895.4
932929.6,1964895.4
932918.5,1964900.3
932914.6,1964892.3
932924.6,1964888.4
932924.6,1964888.4
932938.6,1964881.4
932902.2,1964774.3
932896.3,1964755.3
932897.4,1964743.3
932900.4,1964733.3
932907.5,1964723.3
933063.9,1964636.2
933098,1964617.4
933315.5,1964494.6
933315.5,1964494.6
933446.9,1964419.3
