"x","y"
957737.9,1946495.1
957882.5,1946569.8
958126.7,1946695.1
958126.7,1946695.1
958286.2,1946777.9
958294.2,1946775
958333.8,1946671.2
958333.8,1946671.2
958409.8,1946473.7
958455.5,1946344
958480.8,1946276.1
958480.8,1946276.1
958507.2,1946200.3
958516.3,1946185.3
958527.3,1946175.4
958545.3,1946171.5
958565.3,1946172.6
958800.8,1946261.8
958909.5,1946305.4
958969.4,1946330.7
959031.2,1946354
959031.2,1946354
959182.9,1946409.8
959371.4,1946480.8
959371.4,1946480.8
959450.2,1946509.2
959484.2,1946520.4
959559,1946540.7
959570,1946542.8
959570,1946542.8
959618.9,1946552.1
960045.3,1946646.3
960045.3,1946646.3
960234,1946688.3
960440.7,1946734.3
960440.7,1946734.3
960630.4,1946775.3
960801.1,1946811.2
960801.1,1946811.2
960825.1,1946815.4
960835.1,1946810.4
961060.8,1946286.8
961060.8,1946286.8
961214.7,1945923.7
961214.7,1945923.7
961302.8,1945715.3
961302.8,1945715.3
961334.1,1945648.5
961313.4,1945600.4
961271.5,1945586.2
961271.5,1945586.2
961036.1,1945490
960899.4,1945439.2
960899.4,1945439.2
960835.5,1945413.9
960821.5,1945421.8
960794.2,1945482.7
960794.2,1945482.7
960761.9,1945548.5
960717.3,1945661.2
960661.6,1945789.9
960661.6,1945789.9
960553.3,1946047.2
960533,1946096.1
960487.5,1946205.8
960454.1,1946284.6
960416.6,1946373.3
960416.6,1946373.3
960285,1946690.5
960270.9,1946704.5
960260.9,1946712.4
960246.8,1946718.3
960221.8,1946721.2
959992.2,1946670
959992.2,1946670
959789.5,1946624.9
959596.8,1946583.9
959596.8,1946583.9
959507.9,1946564.5
959443,1946544.1
959389.2,1946525.9
959353.3,1946511.7
959353.3,1946511.7
959229.5,1946466
959126.8,1946427.5
959001.1,1946379.8
959001.1,1946379.8
958887.3,1946339.3
958887.3,1946339.3
958545.2,1946207.5
958538.1,1946209.4
958527,1946236.4
958502.7,1946306.2
958502.7,1946306.2
958435.7,1946494.8
958359.6,1946693.3
958359.6,1946693.3
958324.2,1946785.1
958306.1,1946807
958281,1946819.9
958253,1946822.7
958097.5,1946740.9
958097.5,1946740.9
957954.9,1946666.2
957762.5,1946565.2
